cik,coname,form,file_date,file_name,hlink,rdate,secadate,secatime,accession,type,document,file_size,sequence,description
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-07,edgar/data/1000045/0001104659-20-012312.txt,https://www.sec.gov/Archives/edgar/data/1000045/000110465920012312/0001104659-20-012312-index.html,NA,2020-02-07,10:51:57,0001104659-20-012312,SC 13G/A,a20-6861_3sc13ga.htm,69016.0,1.0,SC 13G/A
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-07,edgar/data/1000045/0001104659-20-012312.txt,https://www.sec.gov/Archives/edgar/data/1000045/000110465920012312/0001104659-20-012312-index.html,NA,2020-02-07,10:51:57,0001104659-20-012312,,0001104659-20-012312.txt,70654.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-11,edgar/data/1000045/0001019056-20-000070.txt,https://www.sec.gov/Archives/edgar/data/1000045/000101905620000070/0001019056-20-000070-index.html,NA,2020-02-11,14:17:22,0001019056-20-000070,SC 13G/A,nicholas_13ga3.htm,177122.0,1.0,SC 13G/A
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-11,edgar/data/1000045/0001019056-20-000070.txt,https://www.sec.gov/Archives/edgar/data/1000045/000101905620000070/0001019056-20-000070-index.html,NA,2020-02-11,14:17:22,0001019056-20-000070,EX-1,ex_1.htm,23300.0,2.0,EXHIBIT1
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-11,edgar/data/1000045/0001019056-20-000070.txt,https://www.sec.gov/Archives/edgar/data/1000045/000101905620000070/0001019056-20-000070-index.html,NA,2020-02-11,14:17:22,0001019056-20-000070,EX-2,ex_2.htm,2758.0,3.0,EXHIBIT 2
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-11,edgar/data/1000045/0001019056-20-000070.txt,https://www.sec.gov/Archives/edgar/data/1000045/000101905620000070/0001019056-20-000070-index.html,NA,2020-02-11,14:17:22,0001019056-20-000070,,0001019056-20-000070.txt,205078.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-12,edgar/data/1000045/0001258897-20-001185.txt,https://www.sec.gov/Archives/edgar/data/1000045/000125889720001185/0001258897-20-001185-index.html,NA,2020-02-12,11:45:13,0001258897-20-001185,SC 13G/A,dfs442.htm,51244.0,1.0,SCHEDULE 13G/A
1000045,NICHOLAS FINANCIAL INC,SC 13G/A,2020-02-12,edgar/data/1000045/0001258897-20-001185.txt,https://www.sec.gov/Archives/edgar/data/1000045/000125889720001185/0001258897-20-001185-index.html,NA,2020-02-12,11:45:13,0001258897-20-001185,,0001258897-20-001185.txt,52974.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,SC 13G,2020-02-12,edgar/data/1000045/0001037389-20-000051.txt,https://www.sec.gov/Archives/edgar/data/1000045/000103738920000051/0001037389-20-000051-index.html,NA,2020-02-12,15:48:05,0001037389-20-000051,SC 13G,nick-13g_20191231.txt,11668.0,1.0,
1000045,NICHOLAS FINANCIAL INC,SC 13G,2020-02-12,edgar/data/1000045/0001037389-20-000051.txt,https://www.sec.gov/Archives/edgar/data/1000045/000103738920000051/0001037389-20-000051-index.html,NA,2020-02-12,15:48:05,0001037389-20-000051,,0001037389-20-000051.txt,13266.0,,Complete submission text file
